Participant,IT1,IT2,Key,rubric,accuracy,RT
1,p,p,n,1,0,3.871
1,r,c,n,0,1,4.1
1,t,t,m,1,1,4.261
1,v,m,n,0,1,3.63
1,a,a,m,1,1,5.601
1,j,h,m,0,0,3.99
1,w,w,m,1,1,4.429
1,e,e,m,1,1,3.056
1,i,i,m,1,1,3.7
1,l,l,n,1,0,4.988
1,y,l,n,0,1,3.74
1,j,e,n,0,1,3.382
1,z,z,m,1,1,2.921
1,l,l,m,1,1,3.966
1,s,q,m,0,0,4.256
1,j,j,m,1,1,3.077
1,p,i,m,0,0,3.639
1,n,n,n,1,0,3.38
1,c,c,m,1,1,3.282
1,v,h,m,0,0,3.013
1,r,r,m,1,1,2.953
1,k,s,n,0,1,3.692
1,r,r,m,1,1,3.028
1,o,o,m,1,1,2.897
1,q,g,m,0,0,3.954
1,k,e,m,0,0,2.327
1,i,i,m,1,1,2.259
1,p,p,m,1,1,2.564
1,l,z,n,0,1,4.321
1,l,u,n,0,1,2.787
1,b,b,n,1,0,4.829
1,b,w,n,0,1,3.624
1,e,e,m,1,1,2.582
1,t,t,n,1,0,4.753
1,y,u,n,0,1,3.178
1,d,d,m,1,1,2.825
1,o,n,m,0,0,2.568
1,c,e,m,0,0,2.822
1,y,y,m,1,1,3.676
1,x,x,n,1,0,4.401
1,e,e,m,1,1,2.926
1,s,s,m,1,1,2.821
1,a,a,m,1,1,2.658
1,k,k,m,1,1,2.208
1,k,k,m,1,1,2.204
1,d,d,m,1,1,3.508
1,l,l,m,1,1,3.619
1,s,s,m,1,1,3.895
1,i,j,n,0,1,4.508
1,h,h,m,1,1,4.067
1,z,z,m,1,1,3.092
1,w,w,n,1,0,3.751
1,k,k,m,1,1,3.088
1,s,g,n,0,1,3.829
1,g,g,m,1,1,3.435
1,c,c,m,1,1,2.588
1,m,m,m,1,1,3.475
1,x,x,m,1,1,4.038
1,e,r,n,0,1,2.419
1,a,a,m,1,1,3.028
1,e,t,n,0,1,2.382
1,b,p,n,0,1,2.948
1,l,r,m,0,0,3.867
1,h,g,m,0,0,3.149
1,t,t,m,1,1,2.729
1,n,z,n,0,1,2.809
1,x,x,n,1,0,4.289
1,i,i,m,1,1,3.132
1,s,u,n,0,1,4.183
1,u,u,m,1,1,3.498
1,r,n,n,0,1,4.156
1,v,v,m,1,1,3.348
1,a,x,n,0,1,3.499
1,n,b,n,0,1,4.388
1,q,q,m,1,1,3.739
1,m,g,n,0,1,3.275
1,b,c,n,0,1,4.372
1,q,q,n,1,0,3.926
1,m,y,n,0,1,3.42
1,p,q,m,0,0,3.571
1,i,i,m,1,1,2.74
1,v,v,n,1,0,3.772
1,f,r,m,0,0,2.827
1,m,m,m,1,1,3.163
1,y,s,m,0,0,4.076
1,d,a,n,0,1,3.614
1,m,m,m,1,1,4.37
1,y,y,m,1,1,3.555
1,d,i,n,0,1,4.11
1,m,m,n,1,0,6.983
1,n,o,n,0,1,4.033
1,j,j,n,1,0,6.871
1,r,r,m,1,1,3.68
1,o,o,m,1,1,5.484
1,g,q,n,0,1,3.233
1,s,y,n,0,1,2.547
1,g,g,m,1,1,3.244
1,p,p,m,1,1,4.009
1,k,l,n,0,1,2.771
1,c,c,m,1,1,2.642
1,e,e,m,1,1,2.619
1,v,v,n,1,0,4.014
1,d,d,m,1,1,3.171
1,g,u,n,0,1,2.859
1,e,p,n,0,1,2.591
1,f,f,n,1,0,4.191
1,w,i,n,0,1,3.303
1,j,j,m,1,1,3.946
1,g,b,n,0,1,3.632
1,b,y,n,0,1,2.956
1,j,w,n,0,1,2.844
1,u,u,m,1,1,2.761
1,z,r,m,0,0,3.842
1,f,c,n,0,1,4.934
1,g,j,n,0,1,3.453
1,n,n,m,1,1,3.708
1,g,g,n,1,0,3.612
1,b,b,m,1,1,2.462
1,t,u,n,0,1,3.767
