,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
a,0.898,0.688,0.661,0.76,1,0.922,1,0.974,0.917,0.947,0.972,1,0.967,0.974,0.939,1,0.972,1,0.913,0.971,0.918,0.937,0.974,0.974,0.946,1
b,0.688,0.84,0.638,0.55,0.677,0.745,0.607,0.713,0.706,0.707,0.749,0.688,0.944,0.972,0.872,0.833,0.912,0.853,0.889,0.859,0.818,0.846,0.802,0.912,0.912,0.944
c,0.661,0.638,0.844,0.753,0.485,0.621,0.817,0.611,0.605,0.716,0.969,0.884,0.828,0.906,0.95,0.882,0.946,0.947,0.859,0.908,0.787,0.882,0.861,0.862,0.906,0.875
d,0.76,0.55,0.753,0.715,0.498,0.489,0.41,0.314,0.767,0.454,0.787,0.618,0.662,0.777,0.844,0.712,0.799,0.686,0.697,0.753,0.733,0.939,0.716,0.849,0.847,0.849
e,1,0.677,0.485,0.498,0.766,0.667,0.875,0.611,0.556,0.743,0.691,0.749,0.727,0.849,0.818,0.875,0.971,0.969,0.759,0.844,0.812,0.885,0.875,0.919,0.929,0.912
f,0.922,0.745,0.621,0.489,0.667,0.773,0.274,0.402,0.674,0.397,0.862,0.824,0.767,0.866,0.787,0.513,0.722,0.456,0.57,0.516,0.887,0.765,0.513,0.889,0.938,0.756
g,1,0.607,0.817,0.41,0.875,0.274,0.832,0.48,0.875,0.459,0.894,0.727,0.789,0.675,0.748,0.492,0.282,0.512,0.816,0.451,0.912,0.748,0.337,0.818,0.686,0.686
h,0.974,0.713,0.611,0.314,0.611,0.402,0.48,0.78,0.601,0.4,0.781,0.647,0.83,0.811,0.73,0.712,0.615,0.665,0.749,0.702,0.742,0.66,0.503,0.789,0.832,0.572
i,0.917,0.706,0.605,0.767,0.556,0.674,0.875,0.601,0.741,0.423,0.799,0.792,0.859,0.838,0.806,0.811,0.827,0.855,0.644,0.838,0.853,0.922,0.913,0.84,0.913,0.895
j,0.947,0.707,0.716,0.454,0.743,0.397,0.459,0.4,0.423,0.703,0.747,0.627,0.826,0.743,0.52,0.733,0.728,0.56,0.689,0.508,0.818,0.812,0.701,0.785,0.841,0.85
k,0.972,0.749,0.969,0.787,0.691,0.862,0.894,0.781,0.799,0.747,0.832,0.66,0.337,0.658,0.515,0.822,0.83,0.757,0.542,0.794,0.362,0.628,0.822,0.697,0.882,0.882
l,1,0.688,0.884,0.618,0.749,0.824,0.727,0.647,0.792,0.627,0.66,0.862,0.742,0.799,0.759,0.612,0.88,0.608,0.627,0.631,0.676,0.642,0.734,0.656,0.85,0.858
m,0.967,0.944,0.828,0.662,0.727,0.767,0.789,0.83,0.859,0.826,0.337,0.742,0.723,0.58,0.33,0.529,0.676,0.772,0.544,0.6,0.382,0.542,0.572,0.43,0.794,0.462
n,0.974,0.972,0.906,0.777,0.849,0.866,0.675,0.811,0.838,0.743,0.658,0.799,0.58,0.736,0.267,0.59,0.544,0.45,0.624,0.383,0.581,0.608,0.417,0.374,0.358,0.232
o,0.939,0.872,0.95,0.844,0.818,0.787,0.748,0.73,0.806,0.52,0.515,0.759,0.33,0.267,0.741,0.536,0.743,0.557,0.548,0.577,0.299,0.399,0.556,0.344,0.603,0.172
p,1,0.833,0.882,0.712,0.875,0.513,0.492,0.712,0.811,0.733,0.822,0.612,0.529,0.59,0.536,0.767,0.312,0.344,0.402,0.539,0.647,0.518,0.288,0.553,0.417,0.428
q,0.972,0.912,0.946,0.799,0.971,0.722,0.282,0.615,0.827,0.728,0.83,0.88,0.676,0.544,0.743,0.312,0.808,0.284,0.851,0.456,0.882,0.516,0.353,0.653,0.467,0.384
r,1,0.853,0.947,0.686,0.969,0.456,0.512,0.665,0.855,0.56,0.757,0.608,0.772,0.45,0.557,0.344,0.284,0.737,0.749,0.446,0.664,0.45,0.354,0.549,0.413,0.278
s,0.913,0.889,0.859,0.697,0.759,0.57,0.816,0.749,0.644,0.689,0.542,0.627,0.544,0.624,0.548,0.402,0.851,0.749,0.695,0.294,0.625,0.599,0.598,0.617,0.856,0.676
t,0.971,0.859,0.908,0.753,0.844,0.516,0.451,0.702,0.838,0.508,0.794,0.631,0.6,0.383,0.577,0.539,0.456,0.446,0.294,0.75,0.75,0.513,0.479,0.549,0.588,0.382
u,0.918,0.818,0.787,0.733,0.812,0.887,0.912,0.742,0.853,0.818,0.362,0.676,0.382,0.581,0.299,0.647,0.882,0.664,0.625,0.75,0.787,0.454,0.781,0.412,0.692,0.5
v,0.937,0.846,0.882,0.939,0.885,0.765,0.748,0.66,0.922,0.812,0.628,0.642,0.542,0.608,0.399,0.518,0.516,0.45,0.599,0.513,0.454,0.765,0.617,0.508,0.404,0.548
w,0.974,0.802,0.861,0.716,0.875,0.513,0.337,0.503,0.913,0.701,0.822,0.734,0.572,0.417,0.556,0.288,0.353,0.354,0.598,0.479,0.781,0.617,0.73,0.515,0.5,0.479
x,0.974,0.912,0.862,0.849,0.919,0.889,0.818,0.789,0.84,0.785,0.697,0.656,0.43,0.374,0.344,0.553,0.653,0.549,0.617,0.549,0.412,0.508,0.515,0.783,0.344,0.301
y,0.946,0.912,0.906,0.847,0.929,0.938,0.686,0.832,0.913,0.841,0.882,0.85,0.794,0.358,0.603,0.417,0.467,0.413,0.856,0.588,0.692,0.404,0.5,0.344,0.819,0.382
z,1,0.944,0.875,0.849,0.912,0.756,0.686,0.572,0.895,0.85,0.882,0.858,0.462,0.232,0.172,0.428,0.384,0.278,0.676,0.382,0.5,0.548,0.479,0.301,0.382,0.75
